Company,x,Member of the S&P500,Member of the Russell 1000 Index,source,Scraping code set up ?,Ticker(s),PR Agency,Example 2020 company PR agency press release URL,Domain,Company global/main press - news release site URL,Subscribed to press releases esgroadmap@gmail.com ?,Subscribed to press releases jameskijani@gmail.com ?,Plain text press release subscription possible? (yes/no),Company annual reports page URL,Company annual / financial report 2020 URL of pdf document (including 10-k),Company sustainability / ESG reports page URL,Company Sustainability / ESG report 2020 URL of pdf document,Country,NAICS #1,2017 NAICS TITLE,NAICS #2,2017 NAICS TITLE.1,NAICS #3,2017 NAICS TITLE.2,NAICS #4,2017 NAICS TITLE.3,NAICS #5,2017 NAICS TITLE.4,WORKED BY:,COMMENTS / NOTES,Carbon sentence available ?
Illinois Tool Works Inc.,,yes,yes,,,ITW,Globenewswire,https://www.globenewswire.com/en/news-release/2021/05/07/2225630/31446/en/ITW-Board-of-Directors-Declares-Quarterly-Dividend.html,https://www.itw.com/,https://investor.itw.com/news-events/news/default.aspx,YES,YES,NO,https://investor.itw.com/financials/annual-reports/default.aspx,https://s25.q4cdn.com/220651370/files/doc_financials/2020/ar/2020-Annual-Report.pdf,https://www.itw.com/social-responsibility/reports-and-downloads/,https://www.itw.com/media/y4ffzbuq/itw_2020corporatesocialresponsibilityreport_final.pdf,United States,333999,All Other Miscellaneous General Purpose Machinery Manufacturing ,326199,All Other Plastics Product Manufacturing ,333249,Other Industrial Machinery Manufacturing ,*,*,*,*,LILYD - S&P,,0
Illumina Inc.,,yes,yes,,,ILMN,Businesswire,https://www.businesswire.com/news/home/20210601005025/en/,https://www.illumina.com/,https://www.illumina.com/company/news-center/press-releases.html,YES,YES,NO,https://investor.illumina.com/financials/sec-filings-details/default.aspx?FilingId=13902735,https://s24.q4cdn.com/526396163/files/doc_financials/2020/q4/13eff379-c1ce-48fe-a760-8ff5147866b2.pdf,https://www.illumina.com/company/about-us/corporate-social-responsibility.html,https://www.illumina.com/content/dam/illumina-marketing/documents/company/illumina-csr-report-2020.pdf,United States,334516,Analytical Laboratory Instrument Manufacturing ,333249,Other Industrial Machinery Manufacturing ,621511,Medical Laboratories ,*,*,*,*,LILYD - S&P,,0
Immunomedics Inc,,no,yes,,,IMMU,Businesswire,https://www.businesswire.com/news/home/20200913005051/en/,https://www.immunomedics.com/,https://staging.immunomedics.com/immu_2019/our-company/news-and-events/category/press-releases/,NO,NO,NO,website not found,,,,United States,325413,In-Vitro Diagnostic Substance Manufacturing ,325414,Biological Product (except Diagnostic) Manufacturing ,*,*,*,*,*,*,LILYD - Russell,,0
Imperial Oil,,no,no,Merck & Co.,,IMO,Businesswire,http://www.businesswire.com/news/home/20201130005961/en/Imperial-provides-update-on-unconventional-portfolio,https://www.imperialoil.ca/,https://news.imperialoil.ca/news-releases/default.aspx,YES,YES,NO,https://www.imperialoil.ca/en-CA/Investors/Investor-relations/Annual-and-quarterly-reports-and-filings,https://www.imperialoil.ca/-/media/Imperial/Files/2020-SEC/Annual-report.pdf,https://www.imperialoil.ca/en-CA/News/Newsroom/Publications-and-reports#Communityinvolvement,https://www.imperialoil.ca/-/media/Imperial/Files/Publications-and-reports/IMP-0020-Sustainability-Report_final_web_March-29.pdf,Canada,211120,Crude Petroleum Extraction ,*,*,*,*,*,*,*,*,,,1
Incyte Corporation,,yes,yes,,,INCY,Businesswire,https://www.businesswire.com/news/home/20210625005231/en/,https://www.incyte.com/,https://investor.incyte.com/press-releases/default.aspx,YES,YES,NO,https://investor.incyte.com/investors/financials/default.aspx#module-annual,https://s21.q4cdn.com/114423841/files/doc_financials/2020/ar/INCY_2020-Form-10-K.pdf,https://www.incyte.com/responsibility,https://www.incyte.com/Portals/0/Assets/Responsibility%20PDFs/sasb-summary.pdf,United States,541714,Research and Development in Biotechnology (except Nanobiotechnology),325412,Pharmaceutical Preparation Manufacturing ,*,*,*,*,*,*,LILYD - S&P,,0
Ingersoll Rand Inc.,,yes,yes,,,IR,Businesswire,https://www.businesswire.com/news/home/20210629005361/en/,https://www.ingersollrand.com/en-us,https://investors.irco.com/news/default.aspx,YES,YES,NO,https://investors.irco.com/financials/annual-reports/default.aspx,https://s23.q4cdn.com/965037804/files/doc_financials/2020/ar/Ingersoll-Rand-'20-Annual-Report-and-'20-10-K-Final-4-28-21.pdf,https://www.irco.com/en-us/company/corporate-responsibility/sustainability-reports,No pdf link but can be downloaded on the page,United States,333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing ,334513,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables ",*,*,*,*,*,*,LILYD - S&P,,0
Ingredion Inc,,no,yes,,,INGR,Globenewswire,"https://www.globenewswire.com/en/news-release/2021/05/19/2232828/0/en/Ingredion-Incorporated-Declares-Quarterly-Dividend-of-0-64-Per-Share.html#:~:text=WESTCHESTER%2C%20Ill.%2C%20May%2019,business%20on%20July%201%2C%202021.",https://www.ingredion.com/,https://ir.ingredionincorporated.com/news-releases,YES,YES,NO,https://ir.ingredionincorporated.com/financial-information/annual-reports,https://ir.ingredionincorporated.com/static-files/5f2a6ee6-f4fa-4e61-a318-e94fed71c6b5,https://www.ingredion.com/na/en-us/company/meet-ingredion/sustainability.html,https://www.ingredion.com/content/dam/ingredion/pdf-downloads/corporate/sustainability-documents/2021_Sustainability_FINAL-051821.pdf,United States,311221,Wet Corn Milling ,*,*,*,*,*,*,*,*,LILYD - Russell,,0
Inphi Corp,,no,yes,,,IPHI,PRNewswire,https://www.prnewswire.com/news-releases/marvell-extends-octeon-leadership-with-industrys-first-5nm-dpus-301320774.html,https://www.marvell.com/,https://investor.marvell.com/news-releases,captcha won't load. Unable to subscribe,captcha won't load. Unable to subscribe,NO,https://investor.marvell.com/annual-reports,https://investor.marvell.com/download/Form+10K+2020.pdf,not available,not available,United States,334413,Semiconductor and Related Device Manufacturing ,*,*,*,*,*,*,*,*,LILYD - Russell,,0
Insulet Corp,,no,yes,,,PODD,Businesswire,https://www.businesswire.com/news/home/20210701005015/en/,https://www.insulet.com/,https://investor.insulet.com/press-releases,YES,YES,NO,https://investor.insulet.com/financial-information/sec-filings?field_nir_sec_form_group_target_id%5B%5D=471&field_nir_sec_date_filed_value=#views-exposed-form-widget-sec-filings-table,https://investor.insulet.com/static-files/3270873a-0f07-4d75-be62-3f5d91ab5e38,https://investor.insulet.com/esg,https://investor.insulet.com/static-files/05d9c5c2-9316-4c7e-ba4d-45a0124589e2,United States,339112,Surgical and Medical Instrument Manufacturing ,*,*,*,*,*,*,*,*,LILYD - Russell,,0
Integra Lifesciences,,no,yes,,,IART,Globenewswire,https://www.globenewswire.com/news-release/2021/07/08/2259918/1063/en/Integra-LifeSciences-to-Host-Second-Quarter-2021-Financial-Results-Conference-Call-on-July-28-2021.html,https://www.integralife.com/,https://investor.integralife.com/press-releases,YES,YES,NO,https://investor.integralife.com/annual-reports-and-proxies,https://investor.integralife.com/static-files/2b15533d-3c34-4583-991c-86139e821468,not available,not available,United States,339113,Surgical Appliance and Supplies Manufacturing ,*,*,*,*,*,*,*,*,LILYD - Russell,,0
Intel Corp.,,yes,yes,MetLife Inc.,,INTC,Businesswire,http://www.businesswire.com/news/home/20201215005025/en/Intel-Editorial-We-Must-Collaborate-Not-Compete-on-Diversity,https://www.intel.com/content/www/us/en/homepage.html,https://www.intc.com/news-events/press-releases,YES,YES,NO,https://www.intc.com/filings-reports/annual-reports,https://www.intc.com/filings-reports/annual-reports/content/0000050863-21-000010/0000050863-21-000010.pdf,https://www.intc.com/esg,http://csrreportbuilder.intel.com/pdfbuilder/pdfs/CSR-2020-21-Full-Report.pdf,United States,334413,Semiconductor and Related Device Manufacturing ,511210,Software Publishers,*,*,*,*,*,*,,,0
Interactive Brokers Grp,,no,yes,,,IBKR,Businesswire,https://www.businesswire.com/news/home/20210706005003/en/Interactive-Brokers-Group-to-Host-Second-Quarter-Earnings-Conference-Call,https://www.interactivebrokers.com/en/index.php?f=564,https://investors.interactivebrokers.com/en/index.php?f=1559&p=releases,NO,NO,NO,https://investors.interactivebrokers.com/ir/main.php#,https://investors.interactivebrokers.com/download/2020_IBG_AR.pdf,not available,not available,United States,523120,Securities Brokerage ,*,*,*,*,*,*,*,*,LILYD - Russell,,0
Intercontinental Exchange Inc.,,yes,yes,,,ICE,Businesswire,https://www.businesswire.com/news/home/20210617005227/en/NYSE-Summer-Series-Launching-on-June-21-to-Celebrate-New-York%E2%80%99s-Reopening,https://www.intercontinentalexchange.com/,https://ir.theice.com/press/press-releases/default.aspx,YES,YES,NO,https://ir.theice.com/financials/annual-reports-and-proxy/default.aspx,https://s2.q4cdn.com/154085107/files/doc_financials/2020/ar/28668_009_Print_BMK_Web.pdf,https://www.ice.com/about/corporate-responsibility-report,https://www.ice.com/publicdocs/CRR_2020.pdf,United States,523210,Securities and Commodity Exchanges,*,*,*,*,*,*,*,*,LILYD - S&P,,0
International Business Machines,,yes,yes,Microsoft,,IBM,PRNewswire,https://www.prnewswire.com/news-releases/ibm-acquires-expertus-technologies-inc-to-expand-hybrid-cloud-digital-payment-solutions-301193468.html,https://www.ibm.com/,https://newsroom.ibm.com/,NO,NO,NO,https://www.ibm.com/investor/financials/financial-reporting,https://www.ibm.com/investor/att/pdf/IBM_Annual_Report_2020.pdf,https://www.ibm.org/responsibility?_ga=2.18845754.2076627814.1636639534-2095694428.1636639534#commitment,https://ibmorg-public.s3.us-east.cloud-object-storage.appdomain.cloud/responsibility/cr/pdfs/IBM-2020-CRR.pdf,United States,541512,Computer Systems Design Services ,331110,Iron and Steel Mills and Ferroalloy Manufacturing ,333249,Other Industrial Machinery Manufacturing ,333612,"Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing ",333613,Mechanical Power Transmission Equipment Manufacturing ,,,0
International Flavors & Fragrances Inc.,,yes,yes,,,IFF,PRNewswire,https://www.prnewswire.com/news-releases/iff-scent-division-launches-science-of-wellness-program-301295260.html,https://www.iff.com/,https://ir.iff.com/press-releases,YES,YES,NO,https://ir.iff.com/annual-reports-proxy-materials,https://ir.iff.com/static-files/b3f9f420-d10e-41c4-bf69-6c7836607b6a,https://www.iff.com/responsibilities/strategy-reporting/report-library,https://www.iff.com/sites/iff-corp/files/iff-sustainability-report-2020-052121-final-v2.pdf,United States,325199,All Other Basic Organic Chemical Manufacturing ,325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing ,311930,Flavoring Syrup and Concentrate Manufacturing,325620,Toilet Preparation Manufacturing,*,*,LILYD - S&P,,0
International Paper Company,,yes,yes,International Paper Company,,IP,PRNewswire,https://www.prnewswire.com/news-releases/international-paper-reports-third-quarter-2020-results-301162353.html,http://www.internationalpaper.com/,http://www.internationalpaper.com/newsroom/news-releases,YES,YES,NO,https://www.internationalpaper.com/performance/financial-reporting/annual-report,https://s1.q4cdn.com/597881801/files/doc_financials/2020/ar/2020-Annual-Performance-Summary.pdf,https://www.internationalpaper.com/reports,https://www.internationalpaper.com/docs/default-source/english/global-homepage/footer/2020-global-citizenship-report-international-paper.pdf?sfvrsn=f3f5b533_32,United States,322121,Paper (except Newsprint) Mills ,325412,Pharmaceutical Preparation Manufacturing ,424210,Drugs and Druggists' Sundries Merchant Wholesalers ,541713,Research and Development in Nanotechnology ,551112,Offices of Other Holding Companies ,,,0
Interpublic Group of Companies Inc.,,yes,yes,,,IPG,Globenewswire,https://www.globenewswire.com/news-release/2021/07/07/2259437/0/en/Interpublic-Schedules-Second-Quarter-2021-Earnings-Release.html,http://www.interpublic.com/,https://investors.interpublic.com/news-releases,YES,YES,NO,https://investors.interpublic.com/sec-filings/financial-reports,https://investors.interpublic.com/static-files/fe06e837-8a29-4c04-bf64-5db714ac0006,https://www.interpublic.com/sustainability-reports/,https://www.interpublic.com/wp-content/uploads/2021/04/IPG-2020-GRI-Report.pdf,United States,541810,Advertising Agencies,541613,Marketing Consulting Services ,*,*,*,*,*,*,LILYD - S&P,,0
Intuit Inc,,yes,yes,,,INTU,Businesswire,https://www.businesswire.com/news/home/20210525005789/en/,https://www.intuit.com/,https://investors.intuit.com/news/default.aspx,YES,YES,NO,https://investors.intuit.com/financials/annual-reports/default.aspx,https://s23.q4cdn.com/935127502/files/doc_financials/2020/q4/FY20-Form-10-K-r262-As-Filed-08-31-20.pdf,https://www.intuit.com/company/corporate-responsibility/,https://www.intuit.com/oidam/intuit/ic/en_us/content/intuit-cr-report-2020-icom.pdf,United States,511210,Software Publishers,541511,Custom Computer Programming Services ,*,*,*,*,*,*,LILYD - S&P,,0
Intuitive Surgical Inc.,,yes,yes,,,ISRG,Globenewswire,https://www.globenewswire.com/news-release/2021/04/26/2216874/7637/en/Intuitive-Appoints-Dr-Monica-P-Reed-to-its-Board-of-Directors.html,https://www.intuitive.com/en-us,https://isrg.intuitive.com/press-releases,YES,YES,NO,https://isrg.intuitive.com/sec-filings?field_nir_sec_form_group_target_id%5B%5D=471&field_nir_sec_date_filed_value=#views-exposed-form-widget-sec-filings-table,https://isrg.intuitive.com/static-files/32988150-1696-48b9-9413-658ca94d4a3a,https://www.intuitive.com/en-us/about-us/company/sustainability,https://www.intuitive.com/en-us/-/media/ISI/Intuitive/Pdf/2020-intuitive-sustainability-report.pdf,United States,339112,Surgical and Medical Instrument Manufacturing ,*,*,*,*,*,*,*,*,LILYD - S&P,,0
Invesco Ltd.,,yes,yes,,,IVZ,PRNewswire,http://www.prnewswire.com/news-releases/invesco-ltd-to-present-at-morgan-stanley-us-financials-payments--cre-conference-301304504.html,https://www.invesco.com/,https://ir.invesco.com/investor-relations/press-releases/default.aspx,YES,YES,NO,https://ir.invesco.com/investor-relations/annual-reports-and-proxy-statements/default.aspx,https://s21.q4cdn.com/954047929/files/doc_financials/2020/ar/2020-Annual-Report.pdf,https://www.invesco.com/corporate/about-us/esg,https://www.invesco.com/corporate/dam/jcr:5f8945c0-6345-4e9f-9f00-04b920f868ec/ESG_Investment_Stewardship_Report_Corporate.pdf,United States,523930,Investment Advice ,523920,Portfolio Management ,*,*,*,*,*,*,LILYD - S&P,,1
Invitation Homes Inc,,no,yes,,,INVH,Businesswire,https://www.businesswire.com/news/home/20210707005675/en/,https://www.invitationhomes.com/,https://www.invh.com/press-releases/default.aspx,YES,YES,NO,https://www.invh.com/filings/annual-reports-proxy/default.aspx,https://s28.q4cdn.com/264003623/files/doc_financials/2020/ar/INVH-2020-Annual-Report_BMK.pdf,https://www.invitationhomes.com/sustainability,not available,United States,531210,Offices of Real Estate Agents and Brokers,*,*,*,*,*,*,*,*,LILYD - Russell,,0
Ionis Pharmaceuticals,,no,yes,,,IONS,PRNewswire,http://www.prnewswire.com/news-releases/ionis-chief-scientific-officer-c-frank-bennett-phd-receives-gabbay-award-in-biotechnology-and-medicine-301311840.html,https://www.ionispharma.com/,https://ir.ionispharma.com/news-releases,YES,YES,NO,https://ir.ionispharma.com/financial-information/annual-reports,https://ir.ionispharma.com/static-files/294992c2-7d2c-49af-a863-60d3c2da97db,not available,not available,United States,541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology) ",325412,Pharmaceutical Preparation Manufacturing ,*,*,*,*,*,*,LILYD - Russell,,0
Iovance Biotherapeutics,,no,yes,,,IOVA,Globenewswire,https://www.globenewswire.com/news-release/2021/06/29/2255160/0/en/Iovance-Biotherapeutics-to-Host-Conference-Call-and-Webcast-to-Discuss-Clinical-Data-for-LN-145-in-Non-Small-Cell-Lung-Cancer-on-June-29-2021-at-4-30pm-ET.html,https://www.iovance.com/,https://ir.iovance.com/press-releases?c=254507&nyo=0&p=irol-news,YES,YES,NO,https://ir.iovance.com/sec-filings?field_nir_sec_form_group_target_id%5B%5D=471&field_nir_sec_date_filed_value=#views-exposed-form-widget-sec-filings-table,https://ir.iovance.com/static-files/40bb0036-2b19-4b8d-b4a9-12b3a152b5ce,not available,not available,United States,541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology) ",325412,Pharmaceutical Preparation Manufacturing ,*,*,*,*,*,*,LILYD - Russell,,0
IPG Photonics Corporation,,yes,yes,,,IPGP,Globenewswire,https://www.globenewswire.com/en/news-release/2021/06/02/2240335/0/en/IPG-Photonics-to-Participate-in-Upcoming-Investor-Conference.html,http://www.ipgphotonics.com/,https://investor.ipgphotonics.com/press-releases/default.aspx,YES,YES,NO,https://investor.ipgphotonics.com/financials/annual-reports-and-proxies/default.aspx,https://s22.q4cdn.com/882440284/files/doc_financials/2020/q4/a4422b59-3d89-474e-a3a0-3965e8252d87.pdf,https://www.ipgphotonics.com/en/company#[social-responsibility],https://lasersystems.ipgphotonics.com/Admin/IPGLaserSystems/media/About-Us/IPG-Photonics-2020-Sustainability-Report.pdf,United States,334413,Semiconductor and Related Device Manufacturing ,335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing ,327212,Other Pressed and Blown Glass and Glassware Manufacturing ,*,*,*,*,LILYD - S&P,,0
IQVIA Holdings Inc,,yes,yes,,,IQV,Businesswire,https://www.businesswire.com/news/home/20210520005858/en/,https://www.iqvia.com/,https://ir.iqvia.com/press-releases/default.aspx,YES,YES,NO,https://ir.iqvia.com/financial-reports/annual-reports/default.aspx,https://s24.q4cdn.com/326377938/files/doc_financials/2020/ar/IQV-2020.12.31-10K-Final-(with-exhibits).pdf,https://www.iqvia.com/about-us/corporate-responsibility,https://www.iqvia.com/-/media/iqvia/pdfs/about-us/2020-sustainability-report.pdf,United States,541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology) ",621399,Offices of All Other Miscellaneous Health Practitioners ,*,*,*,*,*,*,LILYD - S&P,,0
Iron Mountain Inc.,,yes,yes,,,IRM,Businesswire,https://www.businesswire.com/news/home/20210707005890/en/,http://www.ironmountain.com/,https://investors.ironmountain.com/news-and-events/press-releases/default.aspx,YES,YES,NO,https://investors.ironmountain.com/financials/annual-reports/default.aspx,https://s23.q4cdn.com/202968100/files/doc_financials/2020/ar/2020-Annual-Report-FINAL.pdf,https://www.ironmountain.com/about-us/corporate-responsibility,https://www.ironmountain.com/-/media/files/About-Us/corporate-social-responsibility-reports/2020-corporate-responsibility-report.pdf?la=en,United States,493190,Other Warehousing and Storage,561990,All Other Support Services,518210,"Data Processing, Hosting, and Related Services",531120,Lessors of Nonresidential Buildings (except Miniwarehouses) ,561110,Office Administrative Services,LILYD - S&P,,0
Itt Inc,,no,yes,,,ITT,Businesswire,https://www.businesswire.com/news/home/20210604005053/en/ITT-Announces-Quarterly-Dividend-of-0.22-Per-Share,https://www.itt.com/about,https://www.itt.com/newsroom/news-releases,YES,YES,NO,https://www.itt.com/newsroom/publications/2020-annual-report,https://www.itt.com/CMSPages/GetFile.aspx?guid=fdc4edbd-1f07-4880-b69c-e55b79a9980d,https://www.itt.com/about/sustainability,https://www.itt.com/itt/Media/itt/ITTSite/Publications/2020-ITT-Sustainability-Report-Supplement.pdf,United States,333996,Fluid Power Pump and Motor Manufacturing ,335314,Relay and Industrial Control Manufacturing ,*,*,*,*,*,*,LILYD - Russell,,0
J.B. Hunt Transport Services Inc.,,yes,yes,,,JBHT,,,https://www.jbhunt.com/,https://www.jbhunt.com/our-company/newsroom,NO,NO,NO,https://www.jbhunt.com/our-company/investor-relations,https://www.jbhunt.com/content/dam/jbhunt/jbh/pr/press-releases/2020%20Annual%20Report.pdf,https://www.jbhunt.com/our-company/environmental-sustainability,https://www.jbhunt.com/content/dam/jbhunt/jbh/corporate-responsibility/documents/2020_Sustainability_Report.pdf,United States,484122,"General Freight Trucking, Long-Distance, Less Than Truckload ",484121,"General Freight Trucking, Long-Distance, Truckload ",488510,Freight Transportation Arrangement ,*,*,*,*,LILYD - S&P,,0
J.M. Smucker Company,,yes,yes,,,SJM,PRNewswire,https://www.prnewswire.com/news-releases/the-jm-smucker-co-announces-dividend-increase-301328184.html,http://www.jmsmucker.com/,https://investors.jmsmucker.com/corporate-financial-news,YES,YES,NO,https://investors.jmsmucker.com/annual-reports,https://filecache.investorroom.com/mr5ir_jmsmucker/448/FY20_AnnualReport_full.pdf,https://www.jmsmucker.com/news-stories/corporate-publications/corporate-impact-report,https://s3.us-east-2.amazonaws.com/jms-s3-com-jms-p-pmc6/assets/news-stories/corporate-publications/2020-corporate-impact-report.pdf,United States,311421,Fruit and Vegetable Canning ,311999,All Other Miscellaneous Food Manufacturing ,*,*,*,*,*,*,LILYD - S&P,,0
Jabil Inc,,no,yes,,,JBL,Businesswire,https://www.businesswire.com/news/home/20210622005143/en/Jabil-Optics-Introduces-Powerful-Omnidirectional-Sensor,https://www.jabil.com/,https://investors.jabil.com/news/default.aspx,YES,YES,NO,https://investors.jabil.com/financials/annual-reports/default.aspx,https://s27.q4cdn.com/276975351/files/doc_financial/annual_report/JABIL_2020_AR_FINAL.pdf,https://www.jabil.com/about-us/sustainability.html,not available,United States,334418,Printed Circuit Assembly (Electronic Assembly) Manufacturing ,*,*,*,*,*,*,*,*,LILYD - Russell,,0
Jack Henry & Associates Inc.,,yes,yes,,,JKHY,PRNewswire,https://www.prnewswire.com/news-releases/jack-henrys-chief-risk-officer-named-board-chair-of-the-institute-of-internal-auditors-301327697.html,http://www.jackhenry.com/,https://ir.jackhenry.com/press-releases,YES,YES,NO,https://ir.jackhenry.com/financials-and-filings,https://ir.jackhenry.com/static-files/8cf08e41-070a-4cdc-9df9-dc50503315c4,https://discover.jackhenry.com/corporate-responsibility,https://discover.jackhenry.com/hubfs/JH_Corporate_Responsibility/2020/pdf/JH_CC_SustainabilityReport_2020.pdf,United States,541511,Custom Computer Programming Services ,541512,Computer Systems Design Services ,522320,"Financial Transactions Processing, Reserve, and Clearinghouse Activities ",*,*,*,*,LILYD - S&P,,0
Jacobs Engineering Group Inc.,,yes,yes,,,J,PRNewswire,https://www.prnewswire.com/news-releases/jacobs-to-deliver-eastern-busway-alliance-project-in-auckland-301326675.html,http://www.jacobs.com/,https://invest.jacobs.com/News/Press-Releases/,YES,YES,NO,https://invest.jacobs.com/investors/Jacobs-Filings/default.aspx,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000052988/6175f1a8-d2c0-4d17-9c6d-2063b1b04659.pdf,https://www.jacobs.com/about/sustainability,https://www.jacobs.com/sites/default/files/2019-04/Jacobs-2018-2020-Sustainability-Strategy.pdf,United States,541330,Engineering Services,236220,Commercial and Institutional Building Construction ,237990,Other Heavy and Civil Engineering Construction ,*,*,*,*,LILYD - S&P,,0
Jazz Pharmaceuticals Plc,,no,yes,,,JAZZ,PRNewswire,https://www.prnewswire.com/news-releases/jazz-pharmaceuticals-announces-us-fda-approval-of-rylaze-asparaginase-erwinia-chrysanthemi-recombinant-rywn-for-the-treatment-of-acute-lymphoblastic-leukemia-or-lymphoblastic-lymphoma-301323782.html,https://www.jazzpharma.com/,https://investor.jazzpharma.com/news,YES,YES,NO,https://investor.jazzpharma.com/investors/annual-reports,https://investor.jazzpharma.com/static-files/57320f90-cb2e-4056-8d63-735019701505,not available,not available,United States,325412,Pharmaceutical Preparation Manufacturing ,*,*,*,*,*,*,*,*,LILYD - Russell,,0
Jbg Smith Properties,,no,yes,,,JBGS,Businesswire,https://www.businesswire.com/news/home/20210706005808/en/,https://www.jbgsmith.com/,https://www.jbgsmith.com/about/news/press-releases,YES,YES,NO,https://investors.jbgsmith.com/investor-relations/regulatory-filings/sec-filings/default.aspx,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001689796/08937343-0bd3-4cbc-9574-66162a3bd982.pdf,https://www.jbgsmith.com/about/sustainability,https://api-jbgsmith.reol.com/pdf?id=a56abf11174692b9230a99632c6a7d09c72db160&file_name=sustainability_report_2020.pdf,United States,531390,Other Activities Related to Real Estate ,*,*,*,*,*,*,*,*,LILYD - Russell,,0
Jefferies Financial Grp,,no,yes,,,JEF,Businesswire,https://www.businesswire.com/news/home/20210628005792/en/,https://www.jefferies.com/,https://ir.jefferies.com/press-releases/default.aspx,YES,YES,NO,https://ir.jefferies.com/reports-filings/annual-reports/default.aspx,https://s2.q4cdn.com/620781618/files/doc_financials/2020/ar/Jefferies_2020_AR_Web.pdf,https://www.jefferies.com/ESG/ESG/2/2796,https://jefferies.com/CMSFiles/Jefferies.com/files/Sustainability/ESGReport_2020.pdf,United States,523930,Investment Advice ,*,*,*,*,*,*,*,*,LILYD - Russell,,0
Jetblue Airways Corp,,no,yes,,,JBLU,Businesswire,https://www.businesswire.com/news/home/20210702005446/en/,https://www.jetblue.com/,http://mediaroom.jetblue.com/investor-relations/press-releases/2021,YES,YES,NO,http://mediaroom.jetblue.com/investor-relations/financial-information/reports/annual-reports,http://mediaroom.jetblue.com/~/media/Files/J/Jetblue-IR-V2/Annual-Reports/jblu017-jetblue-2020-annual-report-web.pdf,http://mediaroom.jetblue.com/investor-relations/financial-information/reports/annual-reports,http://mediaroom.jetblue.com/~/media/Files/J/Jetblue-IR-V2/Annual-Reports/2019-2020-jetblue-esg-report.pdf,United States,481111,Scheduled Passenger Air Transportation ,*,*,*,*,*,*,*,*,LILYD - Russell,,0
Johnson & Johnson,,yes,yes,Mondelēz International,,JNJ,PRNewswire,https://www.prnewswire.com/news-releases/johnson--johnson-names-dr-nadja-west-retired-united-states-army-lieutenant-general-and-former-united-states-army-surgeon-general-to-its-board-of-directors-301186123.html,http://www.jnj.com/,https://www.jnj.com/media-center/press-releases#See%20All%20Press%20Releases,YES,YES,NO,https://johnsonandjohnson.gcs-web.com/financial-information/sec-filings?field_nir_sec_form_group_target_id%5B%5D=471&field_nir_sec_date_filed_value=&items_per_page=10#views-exposed-form-widget-sec-filings-table,https://johnsonandjohnson.gcs-web.com/static-files/e2a329b4-aeb6-438d-a449-f0e282cf8ee0,https://www.jnj.com/environmental-sustainability,https://healthforhumanityreport.jnj.com/_document/johnson-johnson-2020-health-for-humanity-report?id=00000179-eebd-d0e3-ad7b-feff30750000,United States,325412,Pharmaceutical Preparation Manufacturing ,334210,Telephone Apparatus Manufacturing,334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,517311,Wired Telecommunications Carriers ,339113,Surgical Appliance and Supplies Manufacturing ,,,0
Johnson Controls International plc,,yes,yes,,,JCI,PRNewswire,https://www.prnewswire.com/news-releases/johnson-controls-supports-call-on-g7-to-speed-up-just-transition-301308946.html,https://www.johnsoncontrols.com/,https://investors.johnsoncontrols.com/news-and-events/press-releases/johnson-controls-international-plc/2021,YES,YES,NO,https://investors.johnsoncontrols.com/financial-information/johnson-sec-filings,https://otp.tools.investis.com/clients/us/johnson_controls/SEC/sec-show.aspx?FilingId=14504266&Cik=0000833444&Type=PDF&hasPdf=1,https://www.johnsoncontrols.com/corporate-sustainability/reporting-and-policies,https://www.johnsoncontrols.com/-/media/jci/corporate-sustainability/reporting-and-policies/gri/2019/johnson_controls_2020-sustainability-report.pdf?la=en&hash=63C4727C436616C656A41E32DC0613A2421F3657,Ireland,333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing ,334512,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use ",335911,Storage Battery Manufacturing ,335912,Primary Battery Manufacturing ,336360,Motor Vehicle Seating and Interior Trim Manufacturing,LILYD - S&P,,1
